filename;split_size;nb_machines;MSR_time;MSRSt_time
CC-MAIN;16;38;23.35;55.07
CC-MAIN;16;35;22.74;54.62
CC-MAIN;16;30;23.06;55.44
CC-MAIN;16;25;22.65;54.33
CC-MAIN;16;21;22.45;53.39
CC-MAIN;16;17;23.35;52.15
CC-MAIN;16;10;28.87;58.06
CC-MAIN;16;5;42.01;70.91
CC-MAIN;16;2;91.06;119.76
CC-MAIN;8;38;24.40;56.41
CC-MAIN;8;35;23.20;54.83
CC-MAIN;8;30;22.39;54.89
CC-MAIN;8;25;23.99;56.27
CC-MAIN;8;21;24.50;55.66
CC-MAIN;8;17;21.78;51.37
CC-MAIN;8;10;27.32;56.71
CC-MAIN;8;5;41.56;70.89
CC-MAIN;8;2;90.14;101.64
CC-MAIN;4;38;32.00;63.99
CC-MAIN;4;35;30.49;62.46
CC-MAIN;4;30;32.60;64.76
CC-MAIN;4;25;32.80;65.81
CC-MAIN;4;21;31.70;63.40
CC-MAIN;4;17;29.00;58.38
CC-MAIN;4;10;39.50;68.66
CC-MAIN;4;5;52.27;81.22
CC-MAIN;4;2;113.88;143.52
CC-MAIN;1;38;80.75;112.24
CC-MAIN;1;35;76.50;108.14
CC-MAIN;1;30;80.74;113.18
CC-MAIN;1;25;66.83;99.33
CC-MAIN;1;21;69.28;100.31
CC-MAIN;1;17;64.85;94.32
CC-MAIN;1;10;72.60;101.73
CC-MAIN;1;5;112.34;141.36
CC-MAIN;1;2;;
